skill_tree,name,image,content
,"Pedang Penumpas (Buster Blade)","https://toram-id.space/img/skill/blade/busterblade.png","Skill level 4  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: Tergantung Senjata Jarak: 7m Combo Awal: ya Combo Tengah: ya Deskripsi: Tebasan beturut-turut setelah aura terkumpul. Weapon ATK Senjata naik beberapa detik saat mengaktifkan Buster Blade. HP pulih sedikit saat buff diberikan. Buff ini tidak ditimpa ulang. Efek jika menggunakan Pedang Daya naik sesuai DEX Jumlah HP pulih naik sesuai VIT Efek jika menggunakan Pedang Ganda Jumlah HP pulih naik sesuai VIT Efek jika menggunakan Pedang Raya Daya naik sesuai STR"
,"Berserk (Berserk)","https://toram-id.space/img/skill/blade/berserk.png","Skill level 4  0 diskusi Type: active MP Cost: 500 Unsur: netral Jarak: 0m Combo Awal: ya Combo Tengah: ya Deskripsi: Mengayunkan senjata bak petarung mengamuk tanpa keraguan. Serangan Normal/Kecepatan Serangan/Critical Rate beberapa detik, Stability/DEF/MDEF turun signifikan. Rampage tidak hilang karena status buruk selama efek berlangsung. Efek jika menggunakan Pedang Mengurangi penurunan Stabilitas. Mengurangi penurunan DEF. (Kecuali Pedang Ganda). Mengurangi penurunan MDEF. (Kecuali Pedang Ganda) Durasi +20det Efek jika menggunakan Pedang Raya Menambah Critical Rate Mengurangi penurunan Stability Durasi +20det"
,"Tebasan Pembungkam (Shut-Out)","https://toram-id.space/img/skill/thumb/tebasan-pembungkam-shut-out.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 100 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan tanpa belas kasihan. Bila target sedang dalam kondisi bergidik/jatuh/pingsan dan tak berdarah, maka luka yang diberikan akan bertambah dan target akan ""Berdarah"". Efek jika menggunakan Pedang Daya bertambah lagi sesuai DEX Efek jika menggunakan Pedang Ganda Daya bertambah lagi sesuai AGI Efek jika menggunakan Pedang Raya Kenaikan daya dasar tergantung pada level skill, kenaikan dayanya sangatlah kecil saat memenuhi syarat"
,"Tebasan Candra (Lunar Slash)","https://toram-id.space/img/skill/thumb/tebasan-candra-lunar-slash18.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 400 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Target ditebas disusul dengan pertambahan luka oleh pedang sihir. Pedang sihir berpeluang memberikan status ""Lelah"". Efek jika menggunakan Pedang Raya Melakukan 1 serangan tambahan bila skill serang lain dipakai. Serangan tambahan ini tidak dapat memberikan status ""Lelah"", tapi Critical Rate naik sesuai level skill"
,"Pedang Aura (Aura Blade)","https://toram-id.space/img/skill/thumb/pedang-aura-aura-blade23.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 200 Unsur: Tergantung Senjata Jarak: 24m Combo Awal: ya Combo Tengah: ya Deskripsi: Menebas bersih musuh disekeliling dengan pedang yang diselimuti aura. Daya skill yang digunakan berikutnya jadi 1.2x lipat. Memberikan Tambahan Fisik pada senjata selagi efek aktif. Efek jika menggunakan Pedang Efek penguat jadi tidak terkuras Efek penguat Pedang Aura diperpanjang 10 detik saat memperoleh efek penguat ""Pedang Penumpas"" Efek jika menggunakan Pedang Ganda Daya skill berikutnya yang digunakan menjadi 1.1x lipat Efek jika menggunakan Pedang Raya Tambahan Fisik yang diberikan berkurang jadi 50% Daya skill berikutnya yang digunakan menjadi 1.3x lipat"
,"Gladiate (Gladiate)","https://toram-id.space/img/skill/thumb/gladiate-gladiate37.png","Skill level 5  0 diskusi Type: active MP Cost: 0 Unsur: netral Jarak: 0m Deskripsi: Meringankan luka yang diterima beberapa kali selama 10 detik. MP pulih sedikit saat luka diringankan. 10 MP pulih per satu efek peringanan luka yang tersisa saat waktunya habis. Efek jika menggunakan Pedang Jumlah MP Pulih bertambah saat luka mengalami peringanan Efek jika menggunakan Pedang Ganda Jumlah MP Pulih bertambah saat luka mengalami peringanan Kemampuan meringankan luka jadi 2x lipat Efek jika menggunakan Pedang Raya Jumlah MP Pulih bertambah sedikit saat luka mengalami peringanan Kemampuan meringankan luka jadi 2x lipat"
,"Temukan lebih banyak","https://toram-id.space/img/skill/thumb/pedang.png","toram Toram Toram online Weapon Skill Pedang (Blade Skills) Skill Tembak (Shot Skills) Skill Sihir (Magic Skills) Skill Bela Diri (Martial Skills) Skill Tombak (Halberd Skills) Skill Samurai (Mononofu Skills) Skill Pedang Ganda (Dual Sword Skills) Skill Penghancur (Crusher Skills) Skill Tangan Kosong (Barehand Skills) Buff Skill Perisai (Shield Skills) Skill Pisau (Dagger Skills) Skill Ksatria (Knight Skills) Skill Pemburu (Hunter Skills) Skill Pendeta (Priest Skills) Skill Bertahan (Guard Skills) Skill Kegelapan (Dark Power Skills) Skill Ksatria Sihir (Magic Blade Skills) Skill Assassin (Assassin Skills) Skill Wisaya (Wizard Skills) Assist Skill Survival (Survival Skills) Skill Support (Support Skills) Skill Tempur (Battle Skills) Skill Minstrel (Minstrel Skills) Skill Penari (Dancer Skills) Others Skill Pandai Besi (Smith Skills) Skill Alkimia (Alchemy Skills) Skill Penjinak (Tamer Skills) Temukan lebih banyak toram Toram Toram online Toram Online RPG Toram Online - MMORPG Konsol video game terbaik"
,"Temukan lebih banyak",,"Toram Online Toram RPG Toram Online - MMORPG"
,"Tembakan Kuat (Power Shot)","https://toram-id.space/img/skill/shot/powershot.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 100 Unsur: Tergantung Senjata Jarak: 16m Combo Awal: ya Combo Tengah: ya Deskripsi: Menyerang dengan kekuatan lebih tinggi dari biasa. Makin tinggi level, makin singkat waktu himpun. Berpeluang membuat target ""Jatuh"". Critical rate naik untuk target dalam status ""Lambat"".Game Peran Efek jika menggunakan Busur Peluang Jatuh +40% Efek jika menggunakan Bowgun Waktu Himpun memendek Tingkat Terjatuh -40%"
,"Tepat Sasaran (Bullseye)","https://toram-id.space/img/skill/shot/bullseye.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 200 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan beruntun untuk 1 target. Serangan semakin kuat per tembakan. Efek jika menggunakan Busur Daya +75 Efek jika menggunakan Bowgun Penetrasi Fisik Naik"
,"Tembakan Lendir (Moeba Shot)","https://toram-id.space/img/skill/shot/moebashot.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 100 Unsur: air Jarak: 14m Combo Awal: ya Combo Tengah: ya Deskripsi: Menyerang dengan cairan lengket. Serangan berunsur air. Unsur ganda dengan (Panah). Berpeluang memberikan status ""Lambat"" ke target dan bila berhasil, daya meningkat drastis. Efek jika menggunakan Busur Tingkat Melambat +30% Efek jika menggunakan Bowgun Daya +50 Tingkat Melambat -30%"
,"Mahir Tembak (Shot Mastery)","https://toram-id.space/img/skill/shot/shotmastery.png","Skill level 1  0 diskusi Type: pasif Unsur: netral Deskripsi: Semakin lihai menggunakan busur dan bowgun. ATK busur dan bowgun meningkat."
,"Tembakan Tersembunyi (Sneak Attack)","https://toram-id.space/img/skill/shot/sneakattack.png","Skill level 1  0 diskusi Type: active MP Cost: 200 Unsur: netral Jarak: 0m Combo Awal: ya Combo Tengah: ya Deskripsi: Bersembunyi dan mengalihkan permusuhan. Setelah skilI diaktifkan, Aggro tidak muncul untuk beberapa serangan. Efek jika menggunakan Busur MP Cost -200 Efek jika menggunakan Bowgun MP Cost -200"
,"Hujan Panah (Arrow Rain)","https://toram-id.space/img/skill/shot/arrowrain.png","Skill level 2  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Menembak panah dalam jumlah banyak ke langit. Hujan panah turun dalam waktu tertentu dan melukai musuh. Efek jika menggunakan Busur Menambah Jumlah Serangan+ Menambah Kecepatan Serangan Jangkauan (Radius) +2m Efek jika menggunakan Bowgun Daya +70"
,"Tembakan Paralisis (Paralysis Shot)","https://toram-id.space/img/skill/shot/paralysisshot.png","Skill level 2  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: angin Jarak: 14m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan beracun dan melumpuhkan. Serangan berunsur angin. Unsur ganda dengan (Panah). Berpeluang memberikan status ""Lumpuh"" ke target dan bila berhasil, daya meningkat drastis. Stabilitas naik sesaat ketika skill berhasil. Efek jika menggunakan Busur Daya +100 Peluang Lumpuh +20% Efek jika menggunakan Bowgun Daya +150 Peluang Lumpuh -20%"
,"Jarak Jauh (Long Range)","https://toram-id.space/img/skill/shot/longrange.png","Skill level 2  0 diskusi Type: pasif Unsur: netral Deskripsi: Menjadi ahli menyerang dari kejauhan. Memberikan luka lebih dalam jika menyerang dari jarak 8m atau lebih."
,"Jitu (Snipe)","https://toram-id.space/img/skill/shot/snipe.png","Skill level 3  0 diskusi Type: active,skill fisik MP Cost: 400 Unsur: Tergantung Senjata Jarak: 16m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan mengincar titik lemah. Waktu himpun lebih singkat bila level naik. Berpeluang memberikan status ""Pecah Zirah"" pada target. 100% kena untuk target berstatus ""Buta"". Efek jika menggunakan Busur Daya +200 Peluang Pecah Zirah +30% Mengurangi Critical Rate Efek jika menggunakan Bowgun Daya +300 Stabilitas +20% Waktu Himpun sedikit pendek Peluang Pecah Zirah -60%"
,"Asap (Smoke Dust)","https://toram-id.space/img/skill/shot/smokedust.png","Skill level 3  0 diskusi Type: active,skill fisik MP Cost: 500 Unsur: gelap Jarak: 14m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan asap. Serangan berunsur gelap. Unsur ganda dengan (Panah). Berpeluang memberi status ""Buta"" pada target dan bila berhasil, daya meningkat drastis. Akurasi naik sesaat bila skill berhasil. Efek jika menggunakan Busur Daya +200 Peluang Buta +20% Efek jika menggunakan Bowgun Daya +250 Peluang Buta -20%"
,"Instan (Quick Draw)","https://toram-id.space/img/skill/shot/quickdraw.png","Skill level 3  0 diskusi Type: pasif Unsur: netral Deskripsi: Persiapan cepat untuk langkah berikutnya. Bila berhasil menyerang dengan skill, MP berpeluang untuk pulih sedikit."
,"Tembakan Silang (Cross Fire)","https://toram-id.space/img/skill/shot/crossfire.png","Skill level 4  0 diskusi Type: active,skill fisik MP Cost: 400 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Skill Charge (5 tahap) Menyerang target secara linear. Semakin dihimpun, daya makin meningkat dan memberikan serangan tambahan. Serangan tambahan diberikan lagi bila kondisi tertentu dipenuhi. Efek jika menggunakan Busur Daya +50 Daya naik sesuai DEX Jangkauan (Horizontal) +1m Efek jika menggunakan Bowgun Daya Peluru Tambahan +100 Daya tembus peluru tambahan naik sesuai DEX"
,"Pematah Lengan (Arm Break)","https://toram-id.space/img/skill/shot/armbreak.png","Skill level 4  0 diskusi Type: active,skill fisik MP Cost: 700 Unsur: netral Jarak: 14m Combo Awal: ya Combo Tengah: ya Deskripsi: Menyerang lengan target dan mengurangi daya serangnya. Berunsur normal. Unsur ganda dengan (Panah). Berpeluang memberi status ""Lesu"" ke target, dan bila berhasil, daya meningkat drastis. Efek jika menggunakan Busur Daya +300 Peluang Lesu +20% Efek jika menggunakan Bowgun Daya +350 Peluang Lesu -20%"
,"Tembakan Pengumpan (Decoy Shot)","https://toram-id.space/img/skill/shot/decoyshot.png","Skill level 4  0 diskusi Type: active MP Cost: 400 Unsur: netral Jarak: 24m Combo Awal: ya Combo Tengah: ya Deskripsi: Membuat kloning dan membuatnya menyerang. Menyerang bersama target yang menyerang dalam jangkauan. Kloning menyerang dengan serangan normal tanpa Prorasi."
,"Jawara (Vanquisher)","https://toram-id.space/img/skill/thumb/jawara-vanquisher38.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 1200 Unsur: Tergantung Senjata Jarak: 7m Combo Awal: ya Combo Tengah: ya Deskripsi: Melancarkan serangan kuat yang jangkauannya kecil. Daya terurai bila terdapat beberapa target dalam jangkauan. Bila sedang berstatus Terbakar, status akan dihapus saat skill diaktifkan, daya jadi tidak terurai dan dijamin kena sasaran. Efek jika menggunakan Katana Pertambahan daya sesuai nilai DEX tiada MP Cost -600 Daya Skill -600 Efek jika menggunakan Bowgun Menghilangkan debuff kehabisan anak panah dan daya jadi 2x lipat Efek jika menggunakan Pesawat Sihir Pertambahan daya sesuai nilai DEX tiada Daya bertambah sesuai nilai INT Daya Skill -600"
,"Badai Kembar (Twin Storm)","https://toram-id.space/img/skill/thumb/badai-kembar-twin-storm38.png","Skill level 5  0 diskusi Type: active MP Cost: 200 Unsur: netral Jarak: 0m Deskripsi: Menyiapkan 2 bowgun untuk memperkuat serangan normal. Serangan normal makin diperkuat bila MP pulih total. Serangan normal melemah sesaat karena kehabisan anak panah setelah sejumlah serangan normal dilancarkan. Tak bisa dipakai beruntun. Efek jika menggunakan Pesawat Sihir Attack MP Recovery makin diperkuat Efek jika menggunakan Belati Bila MP tidak dipulihkan sampai penuh, dayanya meningkat Mengurangi penurunan daya serangan normal saat kehabisan anak panah Efek jika menggunakan Panah Jumlah serangan 3x lipat"
,"Tembakan Regresif (Retrograde Shot)","https://toram-id.space/img/skill/thumb/tembakan-regresif-retrograde-shot79.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Teknik menembak musuh sambil mundur. Melancarkan serangan secara linear. Musuh tertembak yang HP-nya paling banyak akan ditandai. Skill aktif bergerak mundur bila tombol maju ditekan. Efek jika menggunakan Busur [Efek Tanda] Dodge rate atau peluang elak target yang ditandai menurun. *Tandanya juga dapat dilihat oleh anggota regu. Luka tambahan diberikan bila Skill Tembak atau Skill Pemburu mengenai target yang ditandai, dan dayanya terus bertambah untuk sejumlah serangan."
,"Meriam Parabola (Parabola Cannon)","https://toram-id.space/img/skill/thumb/meriam-parabola-parabola-cannon93.png","Skill level 5  0 diskusi Type: active,skill fisik MP Cost: 400 Unsur: Tergantung Senjata Jarak: 24m Combo Awal: ya Combo Tengah: ya Deskripsi: Menyerang dengan menembakkan proyektil yang menempuh lintasan berbentuk parabola. Jangkauan serangan selalu sama. Arah serangan dapat diubah dengan tombol arah saat menembak. Berpeluang membuat target ""Bisu"". Efek jika menggunakan Busur [Mendapat efek yang sama saat dipakai dengan Bowgun] Bila tembakan meleset, proyektil akan dipasang jadi perangkap dan dayanya bertambah"
,"Temukan lebih banyak","https://toram-id.space/img/skill/thumb/pedang.png","toram Konsol video game terbaik Toram online Weapon Skill Pedang (Blade Skills) Skill Tembak (Shot Skills) Skill Sihir (Magic Skills) Skill Bela Diri (Martial Skills) Skill Tombak (Halberd Skills) Skill Samurai (Mononofu Skills) Skill Pedang Ganda (Dual Sword Skills) Skill Penghancur (Crusher Skills) Skill Tangan Kosong (Barehand Skills) Buff Skill Perisai (Shield Skills) Skill Pisau (Dagger Skills) Skill Ksatria (Knight Skills) Skill Pemburu (Hunter Skills) Skill Pendeta (Priest Skills) Skill Bertahan (Guard Skills) Skill Kegelapan (Dark Power Skills) Skill Ksatria Sihir (Magic Blade Skills) Skill Assassin (Assassin Skills) Skill Wisaya (Wizard Skills) Assist Skill Survival (Survival Skills) Skill Support (Support Skills) Skill Tempur (Battle Skills) Skill Minstrel (Minstrel Skills) Skill Penari (Dancer Skills) Others Skill Pandai Besi (Smith Skills) Skill Alkimia (Alchemy Skills) Skill Penjinak (Tamer Skills)"
,"Temukan lebih banyak",,"Tombak tombak Toram Online"
,"Sihir: Panah (Magic: Arrows)","https://toram-id.space/img/skill/magic/arrows.png","Skill level 1  0 diskusi Type: active,skill sihir MP Cost: 100 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Menembak panah sihir kecil. Jumlah panah meningkat seiring meningkatnya level.Game Multiplayer Super Besar EFEK MENGGUNAKAN TONGKAT (STAFF) Daya +25 = Skill Multiplier +0.25 EFEK MENGGUNAKAN PESAWAT SIHIR ATAU ALAT SIHIR (MAGIC DEVICE) [MD] Menambah Jumlah Serangan = Jumlah Serangan +2 Teknis: Skill Multiplier Dasar: 0,65 + 0,06 * Skill Level; Multipler untuk setiap serangan. Skill Constant Dasar: 40 + Skill Level; Constant untuk setiap serangan. spoiler Jumlah Serangan Catatan: Skill ini tidak terpengaruh dengan Skill Concentrate, Skill Long Range, dan Status Daya Jarak Dekat (Short Range Damage) [SRD] atau Daya Jarak Jauh (Long Range Damae) [LRD]."
,"Sihir: Lembing (Magic: Javelin)","https://toram-id.space/img/skill/magic/javelin.png","Skill level 1  0 diskusi Type: active,skill sihir MP Cost: 200 Unsur: Tergantung Senjata Jarak: 8m Combo Awal: ya Combo Tengah: ya Deskripsi: Menjatuhkan lembing sihir besar ke target. Berpeluang memberikan status buruk kepada target. Status buruk bergantung pada unsur yang digunakan. EFEK MENGGUNAKAN TONGKAT (STAFF) Daya +50 = Skill Multiplier +0.5 EFEK MENGGUNAKAN PESAWAT SIHIR ATAU ALAT SIHIR (MAGIC DEVICE) [MD] Peluang Status Buruk +25% Teknis: Skill Multiplier Dasar: 1,5 + 0,1 * Skill Level Skill Constant Dasar: 50 + 15 * Skill Level Jumlah Serangan: 1 Serangan spoiler Status Buruk Tiap Unsur Peluang Dasar Status Buruk: (7,5 * Skill Level)% Durasi Status Buruk: 2 detik untuk Bergidik (Flinch), 10 detik untuk lainnya. spoiler Ketahanan Status Buruk"
,"Mahir Sihir (Magic Mastery)","https://toram-id.space/img/skill/magic/magicmastery.png","Skill level 1  0 diskusi Type: pasif Deskripsi: Semakin lihai menggunakan senjata sihir. ATK Tongkat atau Galah dan pesawat sihir meningkat. Teknis: spoiler Efek Pasif"
,"MP Charge (MP Charge)","https://toram-id.space/img/skill/magic/mpcharge.png","Skill level 1  0 diskusi Type: active MP Cost: 0 Deskripsi: Mengisi tenaga sihir untuk memulihkan MP. Waktu himpun lebih singkat bila level tinggi. EFEK MENGGUNAKAN TONGKAT (STAFF) Waktu Himpun memendek. Waktu Charge dibagi 2 EFEK MENGGUNAKAN PESAWAT SIHIR ATAU ALAT SIHIR (MAGIC DEVICE) [MD] Waktu Himpun memendek sedikit. Waktu Charge dibagi 1,5 Jumlah MP Pulih +50 Teknis: spoiler Bonus Skill Efek Status Baik (Buff): Mengurangi Waktu Merapal Skill Maximizer setiap (Skill Level) detik, efek ini hanya terjadi jika Anda menggunakan Tongkat (Staff) atau Pesawat Sihir / Alat Sihir (Magic Device) [MD] saat menggunakan Skill Maximizer. Durasi Status Baik (Buff): Sampai Skill Maximizer digunakan."
,"Sihir: Tombak (Magic: Lances)","https://toram-id.space/img/skill/magic/lances.png","Skill level 2  0 diskusi Type: active,skill sihir MP Cost: 300 Unsur: Tergantung Senjata Jarak: 14m Combo Awal: ya Combo Tengah: ya Deskripsi: Menembakkan  tombak sihir berturut-turut. Jumlah tombak bertambah seiring naiknnya level. Berpeluang memberikan status ""Berhenti (Stop)"" ke target.Tombak Berburu EFEK MENGGUNAKAN TONGKAT (STAFF) Daya +150 = Skill Multiplier +1,5 Daya naik sesuai nilai INT. = INT * 0,002 Peluang Berhenti (Stop) x3 EFEK MENGGUNAKAN PESAWAT SIHIR ATAU ALAT SIHIR (MAGIC DEVICE) [MD] Daya naik sesuai nilai INT. = INT * 0,002 Menambah Jumlah Serangan = Jumlah Serangan +1 Peluang Berhenti (Stop) x3 Teknis: Skill Multiplier Dasar: 2,5 + 0,15 * Skill Level; Multiplier untuk setiap serangan. Skill Constant Dasar: 300 + 40 * Skill Level; Constant untuk setiap serangan. spoiler Jumlah Serangan Waktu Dasar Merapal: 2 detik; berpengaruh dengan Status Kecepatan Merapal (Cast Speed) [CSPD]. Peluang Dasar Status Buruk: 10% + (2 * Skill Level)% Durasi Status Buruk: 10 detik Ketahanan Status Buruk: 10 detik Catatan: Skill ini tidak terpengaruh dengan Skill Concentrate, Skill Long Range, dan Status Daya Jarak Dekat (Short Range Damage) [SRD] atau Daya Jarak Jauh (Long Range Damae) [LRD]."
,"Sihir: Tembok (Magic: Wall)","https://toram-id.space/img/skill/magic/wall.png","Skill level 2  0 diskusi Type: active,skill sihir MP Cost: 200 Unsur: Tergantung Senjata Combo Awal: ya Combo Tengah: ya Deskripsi: Membuat dinding sihir di kaki. Melukai dan memukul mundur target. EFEK MENGGUNAKAN TONGKAT (STAFF) Daya +30 = Skill Multiplier +0.30 EFEK MENGGUNAKAN PESAWAT SIHIR ATAU ALAT SIHIR (MAGIC DEVICE) [MD] Jangkauan (Radius) +1m Teknis: Skill Multiplier Dasar: 0,8 + 0,04 * Skill Level; Multipler untuk setiap serangan. Skill Constant Dasar: 100 + 2 * Skill Level; Constant untuk setiap serangan. spoiler Jumlah Serangan Maksimal Jarak Merapal: Secara teori tak terbatas (terbatas pada 100m) Jangkauan Serangan: 1,5m; disekitar posisi perapal saat skill digunakan Waktu Dasar Merapal: 1 detik; berpengaruh dengan Status Kecepatan Merapal (Cast Speed) [CSPD]. Status Buruk: Terpelanting Kebelakang (Knock Back) Peluang Dasar Status Buruk: 100% selama Anda memiliki Aggro. Jarak Terpelanting Kebelakang (Knock Back): 5m; Menjadi 2,5m untuk Bos Ketahanan Status Buruk: 0,8 detik Catatan: Skill ini tidak terpengaruh dengan Skill Concentrate, Skill Long Range, dan Status Daya Jarak Dekat (Short Range Damage) [SRD] atau Daya Jarak Jauh (Long Range Damae) [LRD]. Triple Thrust's Skill Constant buff is divided by the Hit Count"
